,negative,positive,total
juan,3.0,5.0,8.0
jubil,1.0,1.0,2.0
juda,0.0,2.0,2.0
judaiz,1.0,0.0,1.0
jude,2.0,7.0,9.0
judg,61.0,63.0,124.0
judgement,2.0,0.0,2.0
judgment,3.0,7.0,10.0
judi,2.0,2.0,4.0
judic,0.0,1.0,1.0
judici,1.0,3.0,4.0
judith,0.0,1.0,1.0
juelz,1.0,0.0,1.0
juge,0.0,1.0,1.0
jugernaut,1.0,0.0,1.0
juggl,3.0,3.0,6.0
juic,3.0,5.0,8.0
juicebox,0.0,1.0,1.0
juiceless,1.0,0.0,1.0
juici,1.0,1.0,2.0
juicin,1.0,0.0,1.0
juju,0.0,1.0,1.0
jule,0.0,1.0,1.0
juli,10.0,10.0,20.0
julia,19.0,14.0,33.0
julian,1.0,5.0,6.0
juliet,6.0,7.0,13.0
julius,3.0,1.0,4.0
jumbl,27.0,7.0,34.0
jumbo,7.0,8.0,15.0
jump,137.0,98.0,235.0
jumparoo,1.0,0.0,1.0
jumpbut,1.0,0.0,1.0
jumpi,3.0,4.0,7.0
jumpstart,2.0,1.0,3.0
jun,1.0,0.0,1.0
junction,0.0,1.0,1.0
june,7.0,3.0,10.0
jungian,3.0,3.0,6.0
jungl,4.0,1.0,5.0
junglist,0.0,1.0,1.0
junier,1.0,0.0,1.0
junior,26.0,24.0,50.0
junk,1.0,0.0,1.0
junki,2.0,0.0,2.0
junkier,1.0,0.0,1.0
juno,2.0,1.0,3.0
jurass,5.0,2.0,7.0
jurras,0.0,1.0,1.0
jurrass,0.0,1.0,1.0
jus,0.0,5.0,5.0
jusat,0.0,1.0,1.0
just,7885.0,5606.0,13491.0
justa,1.0,0.0,1.0
justbutch,1.0,0.0,1.0
justbuy,0.0,1.0,1.0
justget,0.0,1.0,1.0
justgivemeawholealbumicouldlistentoo,1.0,0.0,1.0
justhowl,1.0,0.0,1.0
justic,12.0,15.0,27.0
justif,1.0,0.0,1.0
justifi,61.0,22.0,83.0
justifymi,1.0,0.0,1.0
justin,6.0,3.0,9.0
justinian,0.0,1.0,1.0
juston,0.0,1.0,1.0
justseem,1.0,0.0,1.0
justsom,1.0,0.0,1.0
justto,1.0,0.0,1.0
jut,3.0,1.0,4.0
juvenil,17.0,6.0,23.0
juvenill,1.0,0.0,1.0
juvini,1.0,0.0,1.0
juvinil,1.0,0.0,1.0
juxtapos,4.0,2.0,6.0
jvc,1.0,1.0,2.0
jyrki,0.0,1.0,1.0
ka,2.0,1.0,3.0
kabal,1.0,0.0,1.0
kabala,0.0,1.0,1.0
kabalewski,0.0,1.0,1.0
kabbalah,0.0,3.0,3.0
kach,1.0,0.0,1.0
kacirk,1.0,0.0,1.0
kaddish,0.0,1.0,1.0
kaehr,1.0,0.0,1.0
kaewert,0.0,2.0,2.0
kafka,2.0,0.0,2.0
kahlan,1.0,1.0,2.0
kahlen,0.0,1.0,1.0
kai,1.0,0.0,1.0
kaito,1.0,0.0,1.0
kalahari,1.0,0.0,1.0
kaleem,1.0,0.0,1.0
kalffian,0.0,1.0,1.0
kalish,0.0,3.0,3.0
kamala,0.0,1.0,1.0
kamam,0.0,1.0,1.0
kamelot,0.0,1.0,1.0
kaminski,0.0,2.0,2.0
kampf,1.0,1.0,2.0
kanan,0.0,1.0,1.0
kanawa,1.0,0.0,1.0
kandahar,1.0,0.0,1.0
kandi,1.0,0.0,1.0
kane,2.0,1.0,3.0
kangaroo,0.0,2.0,2.0
kangraydensonya,0.0,1.0,1.0
kangroo,0.0,1.0,1.0
kanigel,0.0,1.0,1.0
kanipshin,0.0,1.0,1.0
kansa,5.0,2.0,7.0
kant,1.0,0.0,1.0
kantner,0.0,1.0,1.0
kany,1.0,3.0,4.0
kapha,0.0,1.0,1.0
kaplan,1.0,0.0,1.0
kaput,1.0,0.0,1.0
karaan,0.0,1.0,1.0
karajan,0.0,2.0,2.0
karamazov,0.0,2.0,2.0
karaok,10.0,2.0,12.0
karat,0.0,6.0,6.0
karcher,0.0,1.0,1.0
kare,0.0,2.0,2.0
kareena,1.0,0.0,1.0
karen,7.0,10.0,17.0
karenina,2.0,0.0,2.0
kareok,0.0,1.0,1.0
kari,4.0,2.0,6.0
karin,1.0,0.0,1.0
kariok,1.0,0.0,1.0
karl,4.0,4.0,8.0
karla,2.0,1.0,3.0
karma,4.0,2.0,6.0
karmha,1.0,0.0,1.0
karn,1.0,0.0,1.0
karon,0.0,1.0,1.0
karp,1.0,3.0,4.0
karrin,0.0,1.0,1.0
kart,0.0,2.0,2.0
kasabian,1.0,0.0,1.0
kasey,0.0,2.0,2.0
kash,0.0,1.0,1.0
kashmir,1.0,0.0,1.0
kat,0.0,3.0,3.0
kate,10.0,18.0,28.0
katey,1.0,0.0,1.0
katharin,0.0,2.0,2.0
katherin,5.0,8.0,13.0
kathi,7.0,4.0,11.0
kathleen,8.0,4.0,12.0
kathryn,0.0,4.0,4.0
kati,6.0,6.0,12.0
kato,3.0,0.0,3.0
katrina,1.0,0.0,1.0
katz,1.0,1.0,2.0
kaufman,4.0,0.0,4.0
kavanagh,1.0,0.0,1.0
kawasaki,1.0,0.0,1.0
kay,13.0,8.0,21.0
kayak,1.0,2.0,3.0
kayli,1.0,0.0,1.0
kayn,2.0,0.0,2.0
kaz,0.0,1.0,1.0
kazul,0.0,1.0,1.0
kb,3.0,1.0,4.0
kbps,1.0,1.0,2.0
kbs,0.0,2.0,2.0
kbut,0.0,1.0,1.0
kc,1.0,0.0,1.0
kd,0.0,1.0,1.0
keanu,19.0,6.0,25.0
keat,2.0,4.0,6.0
keaton,1.0,4.0,5.0
kedward,1.0,0.0,1.0
keel,2.0,0.0,2.0
keeli,1.0,1.0,2.0
keen,11.0,18.0,29.0
keep,1061.0,1464.0,2525.0
keeper,7.0,34.0,41.0
keepin,3.0,1.0,4.0
keepingus,1.0,0.0,1.0
keepng,1.0,0.0,1.0
keepsak,0.0,3.0,3.0
keg,0.0,2.0,2.0
kegwork,1.0,0.0,1.0
keifer,0.0,1.0,1.0
keira,1.0,1.0,2.0
keisha,0.0,1.0,1.0
keith,4.0,10.0,14.0
keli,1.0,0.0,1.0
keller,0.0,1.0,1.0
kellerman,1.0,1.0,2.0
kelley,0.0,3.0,3.0
kelli,58.0,97.0,155.0
kellyish,1.0,0.0,1.0
kelman,1.0,0.0,1.0
kelsey,0.0,1.0,1.0
kelson,0.0,1.0,1.0
kelvin,0.0,1.0,1.0
kemp,0.0,1.0,1.0
ken,12.0,12.0,24.0
kender,0.0,1.0,1.0
keneal,1.0,2.0,3.0
kenmor,1.0,0.0,1.0
kennedi,2.0,3.0,5.0
kennel,3.0,1.0,4.0
kenneth,0.0,6.0,6.0
kenni,2.0,18.0,20.0
kenshin,0.0,2.0,2.0
kensington,4.0,0.0,4.0
kent,4.0,6.0,10.0
kentaro,1.0,0.0,1.0
kentucki,5.0,7.0,12.0
kenya,1.0,1.0,2.0
kenyon,0.0,1.0,1.0
kenzl,0.0,1.0,1.0
kenzo,1.0,0.0,1.0
kephart,0.0,2.0,2.0
kepp,0.0,1.0,1.0
keppel,0.0,1.0,1.0
kept,433.0,321.0,754.0
kerbero,1.0,0.0,1.0
kern,1.0,0.0,1.0
kerosen,1.0,0.0,1.0
kerouac,4.0,0.0,4.0
kerplunk,1.0,0.0,1.0
kerrang,1.0,0.0,1.0
kerrec,0.0,1.0,1.0
kerri,6.0,0.0,6.0
kesey,0.0,1.0,1.0
kessler,0.0,1.0,1.0
kest,1.0,0.0,1.0
ketchup,3.0,1.0,4.0
kettl,9.0,6.0,15.0
kettlebel,1.0,0.0,1.0
keurig,8.0,2.0,10.0
keven,0.0,3.0,3.0
kevin,17.0,34.0,51.0
kevlar,0.0,1.0,1.0
kew,1.0,0.0,1.0
kewl,0.0,1.0,1.0
key,77.0,92.0,169.0
keyboard,6.0,11.0,17.0
keyboarddisplay,0.0,1.0,1.0
keychain,1.0,0.0,1.0
keyfit,1.0,0.0,1.0
keyfob,1.0,0.0,1.0
keyless,1.0,1.0,2.0
keypad,1.0,1.0,2.0
keyr,1.0,1.0,2.0
keyser,2.0,2.0,4.0
keysian,0.0,1.0,1.0
keystrok,1.0,0.0,1.0
kfd,1.0,0.0,1.0
kgsr,0.0,1.0,1.0
kh,1.0,0.0,1.0
khaki,1.0,3.0,4.0
khalif,0.0,1.0,1.0
khan,0.0,1.0,1.0
khoroshev,1.0,0.0,1.0
khz,3.0,1.0,4.0
kibbl,1.0,1.0,2.0
kick,70.0,117.0,187.0
kickass,0.0,2.0,2.0
kickback,0.0,1.0,1.0
kickbox,4.0,1.0,5.0
kickin,1.0,7.0,8.0
kid,175.0,115.0,290.0
kidd,2.0,1.0,3.0
kiddi,5.0,3.0,8.0
kiddin,1.0,0.0,1.0
kiddish,1.0,0.0,1.0
kiddo,2.0,0.0,2.0
kiddopotamus,0.0,1.0,1.0
kiddyish,1.0,0.0,1.0
kide,1.0,0.0,1.0
kidl,1.0,0.0,1.0
kidman,1.0,5.0,6.0
kidnap,13.0,39.0,52.0
kidney,0.0,1.0,1.0
kidsdiscov,1.0,0.0,1.0
kidsus,0.0,1.0,1.0
kidz,5.0,0.0,5.0
kiedi,1.0,0.0,1.0
kiefer,0.0,2.0,2.0
kieffer,0.0,1.0,1.0
kiersey,1.0,0.0,1.0
kieth,1.0,0.0,1.0
kik,1.0,0.0,1.0
kike,0.0,1.0,1.0
kiki,1.0,0.0,1.0
kilchurn,1.0,0.0,1.0
kilgor,0.0,1.0,1.0
kill,370.0,279.0,649.0
killedmichael,0.0,1.0,1.0
killen,1.0,0.0,1.0
killer,12.0,25.0,37.0
killin,0.0,1.0,1.0
killjoy,1.0,0.0,1.0
killshi,1.0,0.0,1.0
kilmer,0.0,2.0,2.0
kilometr,0.0,1.0,1.0
kilt,0.0,2.0,2.0
kim,8.0,11.0,19.0
kimber,3.0,1.0,4.0
kimberla,0.0,1.0,1.0
kimberley,3.0,0.0,3.0
kimbl,1.0,0.0,1.0
kimbo,1.0,0.0,1.0
kimera,1.0,0.0,1.0
kin,0.0,3.0,3.0
kincaid,0.0,1.0,1.0
kind,5.0,7.0,12.0
kinda,67.0,42.0,109.0
kindaichi,0.0,2.0,2.0
kinder,0.0,2.0,2.0
kindergarten,4.0,7.0,11.0
kindest,1.0,0.0,1.0
kindig,0.0,1.0,1.0
kindl,236.0,62.0,298.0
kindof,1.0,0.0,1.0
kindr,1.0,6.0,7.0
kinet,0.0,6.0,6.0
king,141.0,183.0,324.0
kingdom,0.0,2.0,2.0
kingfish,1.0,0.0,1.0
kingsburi,0.0,1.0,1.0
kingsolv,5.0,3.0,8.0
kingston,3.0,2.0,5.0
kink,2.0,2.0,4.0
kinkad,0.0,1.0,1.0
kinki,3.0,3.0,6.0
kinna,0.0,1.0,1.0
kinnear,2.0,1.0,3.0
kinnit,1.0,0.0,1.0
kino,0.0,1.0,1.0
kinsal,0.0,1.0,1.0
kinsey,2.0,1.0,3.0
kinski,1.0,0.0,1.0
kintaro,0.0,1.0,1.0
kipl,1.0,0.0,1.0
kirbi,0.0,1.0,1.0
kirihito,0.0,1.0,1.0
kirk,2.0,7.0,9.0
kirkland,2.0,0.0,2.0
kirkman,0.0,2.0,2.0
kirkus,0.0,1.0,1.0
kirov,0.0,1.0,1.0
kirsten,1.0,2.0,3.0
kirsti,1.0,1.0,2.0
kisa,1.0,0.0,1.0
kisamor,0.0,2.0,2.0
kismet,1.0,1.0,2.0
kiss,54.0,40.0,94.0
kissin,0.0,1.0,1.0
kisstori,0.0,1.0,1.0
kit,6.0,12.0,18.0
kitaro,0.0,1.0,1.0
kitchen,15.0,16.0,31.0
kitchenaid,28.0,24.0,52.0
kitchenaidi,1.0,0.0,1.0
kitchenaidkpmxnp,0.0,1.0,1.0
kite,2.0,1.0,3.0
kith,0.0,1.0,1.0
kitsch,1.0,0.0,1.0
kitschi,0.0,2.0,2.0
kitten,1.0,3.0,4.0
kittgiv,0.0,1.0,1.0
kitti,10.0,11.0,21.0
kittl,0.0,1.0,1.0
kivrin,0.0,1.0,1.0
kizer,0.0,1.0,1.0
kj,0.0,2.0,2.0
kjv,0.0,1.0,1.0
kkr,0.0,1.0,1.0
klassic,0.0,1.0,1.0
klatchian,0.0,1.0,1.0
klaus,2.0,2.0,4.0
kleen,0.0,1.0,1.0
kleenex,1.0,1.0,2.0
klein,2.0,1.0,3.0
klh,3.0,0.0,3.0
kline,0.0,1.0,1.0
klingklang,0.0,1.0,1.0
klingon,1.0,1.0,2.0
klnown,0.0,1.0,1.0
klondik,0.0,1.0,1.0
klosterman,1.0,0.0,1.0
kloth,0.0,1.0,1.0
kluge,0.0,1.0,1.0
klute,0.0,1.0,1.0
klutz,0.0,1.0,1.0
km,0.0,1.0,1.0
kmart,1.0,0.0,1.0
kmfdm,2.0,1.0,3.0
kmttob,1.0,0.0,1.0
knack,0.0,3.0,3.0
knappertsbusch,0.0,1.0,1.0
knaw,1.0,0.0,1.0
knead,9.0,3.0,12.0
knedliki,0.0,1.0,1.0
knee,0.0,6.0,6.0
kneight,1.0,0.0,1.0
knew,234.0,266.0,500.0
knex,0.0,1.0,1.0
knicca,1.0,0.0,1.0
knick,0.0,1.0,1.0
knievel,1.0,0.0,1.0
knife,8.0,7.0,15.0
knight,8.0,8.0,16.0
knit,8.0,19.0,27.0
knive,6.0,5.0,11.0
knnow,1.0,0.0,1.0
kno,2.0,0.0,2.0
knob,7.0,2.0,9.0
knock,79.0,61.0,140.0
knockin,0.0,2.0,2.0
knockoff,1.0,0.0,1.0
knockout,2.0,2.0,4.0
knopfler,0.0,2.0,2.0
knot,4.0,3.0,7.0
know,2596.0,2349.0,4945.0
knowabl,0.0,1.0,1.0
knowanyth,0.0,1.0,1.0
knowbodi,1.0,0.0,1.0
knowedg,0.0,1.0,1.0
knowhow,1.0,0.0,1.0
knowif,0.0,1.0,1.0
knowledg,17.0,34.0,51.0
knowleg,1.0,1.0,2.0
knowlton,2.0,0.0,2.0
knowmichael,1.0,0.0,1.0
known,275.0,246.0,521.0
knowsometh,1.0,0.0,1.0
knowthem,0.0,1.0,1.0
knoxvill,1.0,0.0,1.0
knuckl,1.0,0.0,1.0
knumb,1.0,0.0,1.0
knw,1.0,0.0,1.0
kobi,0.0,1.0,1.0
koboi,0.0,1.0,1.0
koch,0.0,1.0,1.0
kodak,2.0,0.0,2.0
kodiak,1.0,0.0,1.0
koga,1.0,0.0,1.0
koh,2.0,0.0,2.0
kohl,1.0,4.0,5.0
kohler,0.0,1.0,1.0
koin,1.0,0.0,1.0
kojak,0.0,1.0,1.0
koko,0.0,1.0,1.0
kokori,0.0,1.0,1.0
koktebel,0.0,1.0,1.0
kol,0.0,1.0,1.0
kolb,0.0,1.0,1.0
koldun,0.0,2.0,2.0
komachi,1.0,0.0,1.0
kommissar,0.0,1.0,1.0
komplet,1.0,0.0,1.0
kon,1.0,0.0,1.0
konami,1.0,0.0,1.0
koncerei,0.0,1.0,1.0
kone,0.0,1.0,1.0
kong,22.0,11.0,33.0
konica,0.0,1.0,1.0
konnaner,0.0,1.0,1.0
konstam,0.0,1.0,1.0
kontiki,0.0,1.0,1.0
kook,1.0,0.0,1.0
kooki,0.0,1.0,1.0
kool,3.0,8.0,11.0
koontz,6.0,0.0,6.0
koopa,0.0,1.0,1.0
koran,2.0,0.0,2.0
korb,0.0,1.0,1.0
korea,1.0,2.0,3.0
korean,14.0,16.0,30.0
korg,1.0,0.0,1.0
korn,35.0,46.0,81.0
korupt,0.0,1.0,1.0
kose,0.0,1.0,1.0
kosher,2.0,0.0,2.0
kosovo,1.0,2.0,3.0
koss,0.0,2.0,2.0
kotaku,1.0,0.0,1.0
kowtow,1.0,0.0,1.0
kozak,0.0,1.0,1.0
kozlovski,0.0,1.0,1.0
kphb,1.0,0.0,1.0
kq,1.0,0.0,1.0
kr,1.0,0.0,1.0
kraftwerk,0.0,2.0,2.0
krak,1.0,0.0,1.0
krakauer,1.0,0.0,1.0
kraken,0.0,1.0,1.0
krall,3.0,2.0,5.0
kramer,0.0,1.0,1.0
kranicki,1.0,0.0,1.0
krauss,0.0,2.0,2.0
kreator,1.0,0.0,1.0
kreeft,0.0,1.0,1.0
kreig,0.0,1.0,1.0
krell,0.0,1.0,1.0
kresley,1.0,2.0,3.0
kress,0.0,1.0,1.0
kreuger,0.0,1.0,1.0
kreuz,0.0,1.0,1.0
kringl,1.0,0.0,1.0
kris,2.0,0.0,2.0
krish,1.0,0.0,1.0
krishna,1.0,0.0,1.0
krishnamurti,3.0,0.0,3.0
kriss,1.0,0.0,1.0
kristen,6.0,12.0,18.0
kristi,1.0,2.0,3.0
kristin,2.0,0.0,2.0
kristina,0.0,1.0,1.0
kristofferson,1.0,2.0,3.0
kritik,1.0,0.0,1.0
krnioern,1.0,0.0,1.0
krondor,1.0,0.0,1.0
krs,7.0,3.0,10.0
krueger,1.0,1.0,2.0
krug,0.0,1.0,1.0
krugerish,1.0,0.0,1.0
krull,1.0,0.0,1.0
krupa,1.0,0.0,1.0
krusel,1.0,0.0,1.0
krutz,1.0,0.0,1.0
krynn,0.0,1.0,1.0
kryptones,0.0,1.0,1.0
kryptonit,0.0,1.0,1.0
ks,0.0,3.0,3.0
kse,1.0,0.0,1.0
kst,1.0,0.0,1.0
kthey,0.0,1.0,1.0
ktulu,0.0,2.0,2.0
kubasik,0.0,1.0,1.0
kubric,0.0,1.0,1.0
kubrick,1.0,6.0,7.0
kudo,5.0,10.0,15.0
kuffel,0.0,1.0,1.0
kuhn,2.0,0.0,2.0
kuhnhausen,0.0,1.0,1.0
kukishinden,1.0,0.0,1.0
kulcsar,0.0,1.0,1.0
kullen,0.0,1.0,1.0
kumalo,0.0,1.0,1.0
kunal,0.0,1.0,1.0
kundalini,0.0,2.0,2.0
kundera,2.0,0.0,2.0
kung,3.0,3.0,6.0
kungfu,1.0,1.0,2.0
kunka,0.0,1.0,1.0
kunt,0.0,1.0,1.0
kuntz,1.0,0.0,1.0
kuralt,1.0,0.0,1.0
kurasawa,1.0,0.0,1.0
kurdish,1.0,0.0,1.0
kureishi,0.0,1.0,1.0
kurlan,0.0,3.0,3.0
kurland,1.0,0.0,1.0
kurlanski,0.0,2.0,2.0
kurn,0.0,1.0,1.0
kurosawa,3.0,0.0,3.0
kurrs,3.0,0.0,3.0
kurt,4.0,10.0,14.0
kurtwood,0.0,1.0,1.0
kurven,0.0,1.0,1.0
kushiel,0.0,1.0,1.0
kuti,0.0,1.0,1.0
kuznetsov,1.0,0.0,1.0
kvrxc,0.0,1.0,1.0
kwik,0.0,1.0,1.0
kwyoung,0.0,1.0,1.0
kyan,1.0,0.0,1.0
kyle,1.0,3.0,4.0
kyli,4.0,4.0,8.0
kyuss,0.0,1.0,1.0
kyvig,0.0,1.0,1.0
la,28.0,31.0,59.0
laaaaaaaaterrrrrrrrrrr,0.0,1.0,1.0
laaaaaaugh,1.0,0.0,1.0
laauhg,1.0,0.0,1.0
lab,8.0,2.0,10.0
label,69.0,45.0,114.0
labeld,1.0,0.0,1.0
labell,0.0,1.0,1.0
labl,7.0,0.0,7.0
labor,6.0,1.0,7.0
labori,10.0,1.0,11.0
labour,3.0,2.0,5.0
labradoodl,1.0,0.0,1.0
labryinth,1.0,1.0,2.0
labut,2.0,0.0,2.0
lace,14.0,14.0,28.0
lachey,0.0,1.0,1.0
lachlain,0.0,1.0,1.0
lachrymos,0.0,1.0,1.0
laci,1.0,3.0,4.0
lack,463.0,150.0,613.0
lackadais,2.0,0.0,2.0
lackey,2.0,0.0,2.0
lacklust,32.0,5.0,37.0
lacklustr,1.0,0.0,1.0
lackof,1.0,0.0,1.0
lacksidais,1.0,0.0,1.0
lacon,1.0,2.0,3.0
lacquer,1.0,0.0,1.0
lacrimati,1.0,0.0,1.0
lacross,0.0,1.0,1.0
lact,1.0,0.0,1.0
lactat,0.0,1.0,1.0
lacuna,11.0,4.0,15.0
lad,2.0,2.0,4.0
ladakh,0.0,1.0,1.0
ladder,4.0,4.0,8.0
laddi,0.0,2.0,2.0
laden,6.0,9.0,15.0
lader,1.0,0.0,1.0
ladi,23.0,32.0,55.0
ladin,1.0,0.0,1.0
lado,0.0,1.0,1.0
ladron,0.0,1.0,1.0
ladylik,0.0,2.0,2.0
ladyr,0.0,1.0,1.0
ladytron,2.0,0.0,2.0
lafav,0.0,2.0,2.0
lafferti,0.0,1.0,1.0
lag,11.0,8.0,19.0
lagass,1.0,0.0,1.0
lager,0.0,2.0,2.0
lagh,0.0,1.0,1.0
lago,1.0,1.0,2.0
lagrangei,0.0,1.0,1.0
laguiol,1.0,0.0,1.0
laguna,2.0,0.0,2.0
lai,1.0,0.0,1.0
laid,33.0,57.0,90.0
laiden,1.0,0.0,1.0
lain,0.0,1.0,1.0
laini,0.0,1.0,1.0
laird,1.0,1.0,2.0
laiss,1.0,0.0,1.0
laitman,1.0,0.0,1.0
lakc,1.0,0.0,1.0
lake,7.0,9.0,16.0
lakein,0.0,1.0,1.0
lakesid,0.0,1.0,1.0
lakhani,0.0,2.0,2.0
lakota,3.0,1.0,4.0
lalabi,0.0,1.0,1.0
lalo,0.0,1.0,1.0
lam,2.0,0.0,2.0
lama,1.0,0.0,1.0
lamar,1.0,1.0,2.0
lamaz,0.0,2.0,2.0
lamb,13.0,5.0,18.0
lambast,1.0,1.0,2.0
lambert,3.0,1.0,4.0
lame,207.0,16.0,223.0
lament,10.0,4.0,14.0
lamento,0.0,1.0,1.0
lamer,3.0,0.0,3.0
lamest,9.0,1.0,10.0
lami,0.0,1.0,1.0
lamin,9.0,6.0,15.0
lamont,0.0,1.0,1.0
lamott,1.0,0.0,1.0
lamour,0.0,1.0,1.0
lamp,5.0,8.0,13.0
lampoon,1.0,0.0,1.0
lampshad,1.0,0.0,1.0
lan,1.0,2.0,3.0
lana,0.0,1.0,1.0
lanai,0.0,1.0,1.0
lanc,1.0,1.0,2.0
lancelyn,1.0,0.0,1.0
lancer,0.0,1.0,1.0
lancet,1.0,0.0,1.0
land,37.0,32.0,69.0
lander,0.0,1.0,1.0
landfil,1.0,0.0,1.0
landi,1.0,2.0,3.0
landladi,0.0,1.0,1.0
landlin,2.0,1.0,3.0
landlock,1.0,0.0,1.0
landlord,0.0,1.0,1.0
landmark,0.0,3.0,3.0
landon,0.0,1.0,1.0
landri,0.0,2.0,2.0
landscap,2.0,4.0,6.0
landscapea,0.0,1.0,1.0
landslid,0.0,1.0,1.0
lane,3.0,3.0,6.0
lang,0.0,5.0,5.0
langford,1.0,0.0,1.0
langu,0.0,1.0,1.0
languag,3.0,5.0,8.0
languid,1.0,1.0,2.0
languish,1.0,1.0,2.0
lanki,0.0,1.0,1.0
lans,2.0,5.0,7.0
lansdal,0.0,2.0,2.0
lansinoh,1.0,0.0,1.0
lantern,8.0,4.0,12.0
lanternland,0.0,1.0,1.0
lanzenbi,0.0,1.0,1.0
lao,1.0,0.0,1.0
laod,0.0,1.0,1.0
lap,11.0,8.0,19.0
lapidari,0.0,1.0,1.0
lapierr,0.0,3.0,3.0
lapin,0.0,1.0,1.0
laps,3.0,0.0,3.0
laptap,1.0,0.0,1.0
lapto,1.0,0.0,1.0
laptop,71.0,67.0,138.0
laptoppro,1.0,0.0,1.0
lar,1.0,2.0,3.0
lara,3.0,2.0,5.0
larami,0.0,1.0,1.0
larcang,1.0,0.0,1.0
lardo,1.0,0.0,1.0
larf,1.0,0.0,1.0
larg,372.0,375.0,747.0
larger,118.0,166.0,284.0
largess,1.0,0.0,1.0
largest,17.0,7.0,24.0
larget,1.0,0.0,1.0
largish,0.0,1.0,1.0
largo,0.0,1.0,1.0
lari,0.0,2.0,2.0
larken,1.0,0.0,1.0
larkin,1.0,0.0,1.0
larri,15.0,12.0,27.0
larrieux,0.0,1.0,1.0
larsen,1.0,0.0,1.0
larson,1.0,0.0,1.0
larter,1.0,1.0,2.0
laryngectomi,1.0,0.0,1.0
larynx,2.0,0.0,2.0
las,8.0,10.0,18.0
laser,5.0,1.0,6.0
laserdisc,8.0,2.0,10.0
laserlight,2.0,1.0,3.0
lash,1.0,2.0,3.0
lasher,1.0,0.0,1.0
lasi,0.0,1.0,1.0
lasko,2.0,0.0,2.0
lass,0.0,1.0,1.0
lassi,1.0,2.0,3.0
lasso,0.0,1.0,1.0
last,1662.0,1292.0,2954.0
lastabl,0.0,1.0,1.0
lastest,2.0,4.0,6.0
lastnight,0.0,1.0,1.0
lasttwo,0.0,1.0,1.0
lat,0.0,1.0,1.0
latch,7.0,9.0,16.0
late,211.0,309.0,520.0
latenight,0.0,1.0,1.0
latent,2.0,0.0,2.0
later,449.0,400.0,849.0
latest,153.0,99.0,252.0
latex,1.0,1.0,2.0
latg,1.0,0.0,1.0
lather,3.0,7.0,10.0
lathophob,1.0,0.0,1.0
latifah,0.0,2.0,2.0
latin,38.0,49.0,87.0
latina,0.0,1.0,1.0
latinismo,1.0,0.0,1.0
latino,0.0,1.0,1.0
latter,27.0,25.0,52.0
lattic,0.0,1.0,1.0
laud,8.0,1.0,9.0
laudabl,0.0,1.0,1.0
laug,0.0,1.0,1.0
laugh,201.0,351.0,552.0
laughabl,105.0,8.0,113.0
laughter,2.0,6.0,8.0
launch,12.0,15.0,27.0
launcher,1.0,1.0,2.0
launder,3.0,2.0,5.0
laundri,11.0,5.0,16.0
lauper,4.0,0.0,4.0
laur,0.0,1.0,1.0
laura,4.0,12.0,16.0
laurana,0.0,1.0,1.0
laureat,0.0,1.0,1.0
laurel,7.0,2.0,9.0
lauren,6.0,1.0,7.0
laurenc,1.0,2.0,3.0
laurent,1.0,0.0,1.0
lauri,6.0,9.0,15.0
lauryn,1.0,5.0,6.0
lautrec,1.0,0.0,1.0
lauyrn,0.0,1.0,1.0
lava,6.0,3.0,9.0
lavagirl,1.0,0.0,1.0
lavali,0.0,1.0,1.0
lavall,0.0,1.0,1.0
lavern,1.0,0.0,1.0
lavett,0.0,1.0,1.0
lavey,0.0,1.0,1.0
lavign,2.0,0.0,2.0
lavish,5.0,10.0,15.0
lavyrl,0.0,3.0,3.0
lawless,1.0,1.0,2.0
lawnmow,0.0,1.0,1.0
lawrenc,1.0,0.0,1.0
lax,2.0,1.0,3.0
laxat,1.0,2.0,3.0
lay,51.0,81.0,132.0
layer,11.0,24.0,35.0
layfieldbor,0.0,1.0,1.0
layman,0.0,1.0,1.0
laymen,1.0,2.0,3.0
laymon,0.0,2.0,2.0
layour,0.0,1.0,1.0
layout,1.0,2.0,3.0
laypeopl,1.0,0.0,1.0
laze,1.0,0.0,1.0
lazenbi,0.0,2.0,2.0
lazi,48.0,18.0,66.0
laziest,1.0,0.0,1.0
lazili,3.0,0.0,3.0
lb,20.0,9.0,29.0
lbc,0.0,1.0,1.0
lbj,2.0,0.0,2.0
lbs,22.0,15.0,37.0
lbt,0.0,1.0,1.0
lcb,0.0,1.0,1.0
lcd,13.0,8.0,21.0
ld,1.0,1.0,2.0
ldefect,1.0,0.0,1.0
le,20.0,26.0,46.0
lea,1.0,0.0,1.0
leabian,1.0,0.0,1.0
leach,1.0,0.0,1.0
leachman,0.0,1.0,1.0
lead,211.0,232.0,443.0
leadbeat,0.0,1.0,1.0
leadbelli,0.0,2.0,2.0
leaden,3.0,1.0,4.0
leaf,3.0,9.0,12.0
leafi,1.0,0.0,1.0
leafpaw,0.0,1.0,1.0
leagal,2.0,0.0,2.0
leagu,3.0,2.0,5.0
leaguer,1.0,0.0,1.0
leah,5.0,4.0,9.0
leak,246.0,47.0,293.0
leaki,17.0,5.0,22.0
leakproof,1.0,0.0,1.0
leal,0.0,2.0,2.0
lean,27.0,28.0,55.0
leann,4.0,5.0,9.0
leant,0.0,1.0,1.0
leap,14.0,17.0,31.0
leapfrog,5.0,2.0,7.0
leaphorn,1.0,0.0,1.0
