,negative,positive,total
leo,24.0,61.0,85.0
leon,12.0,19.0,31.0
leona,5.0,1.0,6.0
leonard,58.0,36.0,94.0
leonardo,9.0,14.0,23.0
leoncavallo,0.0,1.0,1.0
leong,3.0,2.0,5.0
leoni,11.0,4.0,15.0
leonid,0.0,1.0,1.0
leonin,0.0,2.0,2.0
leonor,3.0,2.0,5.0
leonora,3.0,9.0,12.0
leopard,9.0,8.0,17.0
leopold,8.0,24.0,32.0
leora,0.0,1.0,1.0
leotard,1.0,0.0,1.0
lepa,2.0,0.0,2.0
leper,6.0,0.0,6.0
leporid,0.0,1.0,1.0
leppard,1.0,0.0,1.0
lepper,1.0,0.0,1.0
leprauchan,1.0,0.0,1.0
leprechaun,5.0,0.0,5.0
leprosi,7.0,0.0,7.0
leprous,5.0,0.0,5.0
lept,0.0,1.0,1.0
lerio,0.0,1.0,1.0
lerman,0.0,8.0,8.0
lerner,5.0,0.0,5.0
leroy,5.0,9.0,14.0
les,22.0,45.0,67.0
lesaffr,0.0,1.0,1.0
lesbian,274.0,152.0,426.0
lesbo,6.0,6.0,12.0
lesbonk,0.0,1.0,1.0
lesk,0.0,1.0,1.0
lesley,7.0,3.0,10.0
lesli,55.0,109.0,164.0
less,1963.0,1689.0,3652.0
lessen,14.0,21.0,35.0
lesseo,2.0,0.0,2.0
lesser,114.0,140.0,254.0
lesson,30.0,48.0,78.0
lessor,0.0,1.0,1.0
lest,23.0,24.0,47.0
lestat,16.0,17.0,33.0
lester,23.0,5.0,28.0
lestrad,1.0,4.0,5.0
lesur,0.0,3.0,3.0
let,2713.0,2084.0,4797.0
letal,1.0,0.0,1.0
letch,2.0,0.0,2.0
letdown,37.0,12.0,49.0
leterri,1.0,0.0,1.0
leth,0.0,1.0,1.0
lethal,62.0,65.0,127.0
letharg,35.0,4.0,39.0
lethargi,2.0,1.0,3.0
letherbi,0.0,1.0,1.0
letheren,0.0,1.0,1.0
lethin,0.0,1.0,1.0
leticia,1.0,0.0,1.0
leto,1.0,0.0,1.0
letourneau,1.0,0.0,1.0
letscher,1.0,0.0,1.0
lett,0.0,1.0,1.0
letter,3.0,2.0,5.0
letterbox,3.0,16.0,19.0
letterman,4.0,20.0,24.0
letti,0.0,5.0,5.0
lettieri,3.0,0.0,3.0
letup,0.0,1.0,1.0
letyat,0.0,3.0,3.0
letzt,0.0,1.0,1.0
leukemia,0.0,3.0,3.0
leukoencephalopathi,0.0,1.0,1.0
leung,1.0,6.0,7.0
leva,0.0,1.0,1.0
leval,0.0,1.0,1.0
levant,4.0,13.0,17.0
levar,0.0,1.0,1.0
leve,1.0,0.0,1.0
level,38.0,46.0,84.0
levelhead,0.0,3.0,3.0
leven,2.0,4.0,6.0
levenstein,1.0,1.0,2.0
levenworth,0.0,1.0,1.0
lever,3.0,0.0,3.0
leverag,1.0,3.0,4.0
levi,9.0,5.0,14.0
leviathan,1.0,0.0,1.0
levin,6.0,4.0,10.0
levinson,2.0,9.0,11.0
levinspiel,0.0,1.0,1.0
levit,8.0,4.0,12.0
levitt,0.0,6.0,6.0
levon,2.0,0.0,2.0
levr,4.0,2.0,6.0
lew,6.0,10.0,16.0
lewbert,1.0,0.0,1.0
lewd,11.0,3.0,14.0
lewi,140.0,118.0,258.0
lewinski,2.0,0.0,2.0
lewton,1.0,0.0,1.0
lex,28.0,24.0,52.0
lexa,0.0,1.0,1.0
lexi,0.0,5.0,5.0
lexicon,0.0,1.0,1.0
lexington,1.0,1.0,2.0
lexx,1.0,1.0,2.0
lez,1.0,1.0,2.0
lezli,2.0,2.0,4.0
lgbt,1.0,0.0,1.0
lh,0.0,1.0,1.0
li,23.0,25.0,48.0
lia,2.0,8.0,10.0
liabl,4.0,4.0,8.0
liais,1.0,0.0,1.0
liaison,0.0,3.0,3.0
liam,16.0,22.0,38.0
lian,0.0,15.0,15.0
liang,1.0,6.0,7.0
liapi,0.0,1.0,1.0
liar,21.0,19.0,40.0
liason,1.0,0.0,1.0
liassez,1.0,0.0,1.0
lib,15.0,14.0,29.0
libber,0.0,1.0,1.0
libbi,2.0,13.0,15.0
libe,0.0,2.0,2.0
libel,5.0,1.0,6.0
liber,165.0,160.0,325.0
liberationist,1.0,0.0,1.0
libertaria,1.0,0.0,1.0
libertarian,2.0,2.0,4.0
liberti,2.0,7.0,9.0
libertin,0.0,1.0,1.0
libeskind,1.0,0.0,1.0
libidin,3.0,9.0,12.0
libido,1.0,1.0,2.0
libr,1.0,0.0,1.0
libra,0.0,2.0,2.0
librari,38.0,56.0,94.0
librarian,4.0,23.0,27.0
librarianship,0.0,1.0,1.0
libretto,0.0,1.0,1.0
libya,0.0,1.0,1.0
libyan,0.0,1.0,1.0
liceman,1.0,0.0,1.0
licens,18.0,17.0,35.0
licenti,2.0,2.0,4.0
lichtblau,0.0,1.0,1.0
licious,3.0,0.0,3.0
licit,2.0,0.0,2.0
lick,28.0,33.0,61.0
lickin,1.0,1.0,2.0
lid,4.0,4.0,8.0
liddl,1.0,0.0,1.0
lideo,0.0,1.0,1.0
lidia,1.0,1.0,2.0
lidth,0.0,1.0,1.0
lie,504.0,520.0,1024.0
lieber,0.0,1.0,1.0
lieberman,1.0,9.0,10.0
liebermann,1.0,0.0,1.0
liebman,3.0,1.0,4.0
liebmann,0.0,1.0,1.0
liebowitz,1.0,0.0,1.0
lief,2.0,1.0,3.0
liek,2.0,0.0,2.0
lien,0.0,1.0,1.0
lier,1.0,0.0,1.0
lieuten,20.0,27.0,47.0
lieutent,0.0,1.0,1.0
liev,10.0,22.0,32.0
life,2.0,1.0,3.0
lifeblood,0.0,1.0,1.0
lifeboat,1.0,2.0,3.0
lifeforc,0.0,4.0,4.0
lifeless,88.0,15.0,103.0
lifelik,4.0,12.0,16.0
lifelin,2.0,1.0,3.0
lifelong,14.0,38.0,52.0
lifeofacristian,0.0,1.0,1.0
lifer,0.0,1.0,1.0
lifespan,0.0,2.0,2.0
lifestyl,17.0,39.0,56.0
lifetim,58.0,63.0,121.0
lifetimetv,1.0,0.0,1.0
lifshitz,0.0,3.0,3.0
lift,190.0,132.0,322.0
ligabu,0.0,2.0,2.0
light,704.0,828.0,1532.0
lightbulb,1.0,0.0,1.0
lighten,25.0,51.0,76.0
lighter,32.0,54.0,86.0
lightest,0.0,5.0,5.0
lightfoot,2.0,0.0,2.0
lighthead,1.0,0.0,1.0
lightheart,19.0,68.0,87.0
lighthous,1.0,0.0,1.0
lightish,0.0,1.0,1.0
lightn,37.0,32.0,69.0
lightsab,1.0,0.0,1.0
lightweight,28.0,39.0,67.0
lightyear,1.0,0.0,1.0
ligoni,0.0,1.0,1.0
lika,1.0,0.0,1.0
likabl,314.0,412.0,726.0
like,4162.0,4918.0,9080.0
likeabl,58.0,54.0,112.0
likeliest,1.0,0.0,1.0
likemind,2.0,0.0,2.0
liken,12.0,18.0,30.0
likewis,37.0,60.0,97.0
likey,2.0,0.0,2.0
likha,0.0,1.0,1.0
lil,25.0,11.0,36.0
lila,5.0,17.0,22.0
lili,42.0,148.0,190.0
lilia,2.0,1.0,3.0
lilian,2.0,3.0,5.0
lilica,0.0,2.0,2.0
liliom,8.0,0.0,8.0
liliputian,0.0,1.0,1.0
lilith,9.0,1.0,10.0
lilja,0.0,1.0,1.0
lilla,0.0,1.0,1.0
lillard,0.0,2.0,2.0
lillehei,1.0,0.0,1.0
lillet,0.0,1.0,1.0
lilley,0.0,1.0,1.0
lilli,25.0,16.0,41.0
lillian,13.0,26.0,39.0
lilliham,0.0,1.0,1.0
lilliputian,1.0,2.0,3.0
lillith,3.0,0.0,3.0
lillli,0.0,1.0,1.0
lilo,3.0,1.0,4.0
lilt,5.0,3.0,8.0
lilyan,2.0,1.0,3.0
lim,0.0,2.0,2.0
lima,0.0,1.0,1.0
limb,13.0,10.0,23.0
limbaugh,0.0,1.0,1.0
limber,0.0,1.0,1.0
limbic,0.0,5.0,5.0
limbless,1.0,1.0,2.0
limbo,7.0,5.0,12.0
limburg,2.0,4.0,6.0
lime,2.0,0.0,2.0
limelight,1.0,6.0,7.0
limerick,0.0,2.0,2.0
limit,323.0,332.0,655.0
limitless,5.0,7.0,12.0
limn,1.0,1.0,2.0
limo,4.0,4.0,8.0
limousin,1.0,2.0,3.0
limp,62.0,12.0,74.0
limpest,1.0,0.0,1.0
limpid,1.0,2.0,3.0
limpinsel,0.0,1.0,1.0
limpli,4.0,1.0,5.0
lin,7.0,9.0,16.0
lina,2.0,2.0,4.0
linaweav,1.0,0.0,1.0
linc,2.0,0.0,2.0
linch,0.0,1.0,1.0
lincoln,9.0,30.0,39.0
lind,1.0,0.0,1.0
linda,63.0,38.0,101.0
lindberg,1.0,6.0,7.0
lindbergh,3.0,25.0,28.0
lindebergh,0.0,1.0,1.0
lindelof,0.0,2.0,2.0
lindemann,1.0,0.0,1.0
linden,2.0,11.0,13.0
lindenbergh,0.0,1.0,1.0
linderbi,2.0,1.0,3.0
lindey,1.0,0.0,1.0
lindi,1.0,25.0,26.0
lindo,2.0,1.0,3.0
lindsay,34.0,22.0,56.0
lindsey,11.0,12.0,23.0
line,32.0,34.0,66.0
lineal,0.0,1.0,1.0
linear,49.0,57.0,106.0
linehan,0.0,1.0,1.0
linen,1.0,3.0,4.0
liner,33.0,35.0,68.0
linett,1.0,0.0,1.0
lineup,1.0,0.0,1.0
ling,10.0,28.0,38.0
lingenberri,0.0,1.0,1.0
linger,69.0,75.0,144.0
lingeri,5.0,1.0,6.0
lingo,0.0,1.0,1.0
lingual,1.0,0.0,1.0
linguist,6.0,6.0,12.0
linha,1.0,0.0,1.0
linhardt,1.0,0.0,1.0
link,101.0,113.0,214.0
linklat,0.0,6.0,6.0
linklatt,1.0,0.0,1.0
linley,0.0,5.0,5.0
linna,0.0,3.0,3.0
linnea,6.0,7.0,13.0
linnet,1.0,1.0,2.0
linney,5.0,2.0,7.0
lino,0.0,1.0,1.0
linsey,0.0,1.0,1.0
lint,1.0,0.0,1.0
lintz,0.0,1.0,1.0
linus,1.0,1.0,2.0
linz,1.0,0.0,1.0
lio,0.0,1.0,1.0
lion,8.0,10.0,18.0
lional,1.0,0.0,1.0
lionel,8.0,21.0,29.0
lioney,0.0,1.0,1.0
lionheart,1.0,0.0,1.0
lioniz,0.0,2.0,2.0
lionman,0.0,1.0,1.0
lionsgat,3.0,2.0,5.0
lior,0.0,3.0,3.0
liotta,5.0,2.0,7.0
liotti,1.0,0.0,1.0
lip,31.0,30.0,61.0
lipinski,1.0,0.0,1.0
lipnicki,1.0,0.0,1.0
lipo,1.0,0.0,1.0
lipp,1.0,1.0,2.0
lipper,0.0,1.0,1.0
lippert,3.0,1.0,4.0
lippo,0.0,1.0,1.0
lipscomb,0.0,1.0,1.0
lipson,0.0,1.0,1.0
lipstick,7.0,8.0,15.0
lipsync,1.0,0.0,1.0
lipsynch,0.0,1.0,1.0
lipton,1.0,0.0,1.0
liquefi,1.0,2.0,3.0
liquid,19.0,10.0,29.0
liquidis,0.0,1.0,1.0
liquor,2.0,2.0,4.0
lira,1.0,0.0,1.0
lisa,89.0,101.0,190.0
lisbeth,0.0,1.0,1.0
lisbon,0.0,3.0,3.0
lise,1.0,1.0,2.0
lish,1.0,0.0,1.0
lishka,0.0,1.0,1.0
lisi,0.0,1.0,1.0
lisp,4.0,0.0,4.0
lispi,0.0,1.0,1.0
lissen,0.0,1.0,1.0
lissom,1.0,0.0,1.0
list,259.0,169.0,428.0
listen,499.0,570.0,1069.0
listend,0.0,1.0,1.0
listenin,1.0,0.0,1.0
listerin,0.0,1.0,1.0
listless,28.0,4.0,32.0
liszt,0.0,1.0,1.0
lisztomania,0.0,1.0,1.0
lit,89.0,60.0,149.0
lita,1.0,2.0,3.0
lite,15.0,14.0,29.0
liten,1.0,0.0,1.0
liter,553.0,519.0,1072.0
literalist,1.0,0.0,1.0
literar,0.0,1.0,1.0
literari,75.0,72.0,147.0
literati,1.0,0.0,1.0
literatur,3.0,5.0,8.0
literlli,0.0,1.0,1.0
litghow,0.0,1.0,1.0
lith,1.0,4.0,5.0
lithgow,7.0,7.0,14.0
lithograph,0.0,2.0,2.0
lithp,1.0,0.0,1.0
lithuanian,1.0,0.0,1.0
litja,0.0,1.0,1.0
litl,0.0,1.0,1.0
litll,0.0,1.0,1.0
litman,1.0,0.0,1.0
litmus,2.0,2.0,4.0
litten,0.0,1.0,1.0
litter,24.0,20.0,44.0
litterali,0.0,1.0,1.0
littl,5958.0,6445.0,12403.0
littlefield,0.0,4.0,4.0
littlekuriboh,1.0,0.0,1.0
littlest,1.0,6.0,7.0
littttl,1.0,0.0,1.0
liturg,1.0,0.0,1.0
litvak,0.0,2.0,2.0
liu,3.0,24.0,27.0
liv,23.0,47.0,70.0
livabl,2.0,2.0,4.0
live,2276.0,3523.0,5799.0
liveli,4.0,5.0,9.0
liveliest,3.0,3.0,6.0
liven,32.0,9.0,41.0
liver,1.0,4.0,5.0
liveri,1.0,0.0,1.0
liverpool,0.0,3.0,3.0
liverpudlian,2.0,0.0,2.0
liverwurst,0.0,1.0,1.0
livesey,0.0,4.0,4.0
livestock,1.0,0.0,1.0
livia,3.0,2.0,5.0
livid,0.0,2.0,2.0
livien,2.0,0.0,2.0
livin,5.0,1.0,6.0
livingston,2.0,2.0,4.0
livlier,1.0,0.0,1.0
livonian,0.0,1.0,1.0
livornes,0.0,1.0,1.0
livvakterna,1.0,0.0,1.0
liy,1.0,0.0,1.0
liyan,0.0,2.0,2.0
liz,16.0,32.0,48.0
liza,4.0,17.0,21.0
lizabeth,2.0,0.0,2.0
lizard,23.0,11.0,34.0
lizardri,0.0,1.0,1.0
lizbeth,0.0,1.0,1.0
lize,0.0,1.0,1.0
lizzani,2.0,0.0,2.0
lizzi,17.0,10.0,27.0
ljubisa,2.0,0.0,2.0
lkg,0.0,1.0,1.0
lkhubbl,0.0,1.0,1.0
ll,2643.0,2375.0,5018.0
llama,1.0,1.0,2.0
llbean,1.0,0.0,1.0
llc,1.0,0.0,1.0
llcoolj,1.0,0.0,1.0
lldoit,0.0,1.0,1.0
ller,0.0,1.0,1.0
llewellyn,0.0,1.0,1.0
llewelyn,1.0,0.0,1.0
lleyweln,1.0,0.0,1.0
llmann,1.0,0.0,1.0
llosa,1.0,1.0,2.0
lloy,0.0,1.0,1.0
lloyd,57.0,88.0,145.0
lls,1.0,0.0,1.0
llshit,0.0,1.0,1.0
llydia,0.0,1.0,1.0
llyod,3.0,0.0,3.0
lmao,2.0,1.0,3.0
lmfao,1.0,0.0,1.0
lmn,3.0,2.0,5.0
lmotp,3.0,0.0,3.0
ln,0.0,2.0,2.0
lnych,1.0,0.0,1.0
lo,21.0,18.0,39.0
loa,1.0,0.0,1.0
loach,4.0,4.0,8.0
load,128.0,108.0,236.0
loaf,2.0,8.0,10.0
loam,0.0,1.0,1.0
loan,7.0,14.0,21.0
loath,51.0,49.0,100.0
loathabl,0.0,1.0,1.0
loathesom,1.0,0.0,1.0
loathsom,19.0,10.0,29.0
loatian,1.0,0.0,1.0
lob,5.0,3.0,8.0
lobbi,2.0,2.0,4.0
lobisomem,0.0,1.0,1.0
loblolli,0.0,2.0,2.0
lobotim,0.0,1.0,1.0
lobotom,8.0,4.0,12.0
lobotomi,5.0,3.0,8.0
lobotomis,1.0,1.0,2.0
lobster,2.0,1.0,3.0
loc,2.0,2.0,4.0
local,911.0,875.0,1786.0
locat,118.0,147.0,265.0
locatair,0.0,2.0,2.0
loch,15.0,4.0,19.0
lochari,1.0,0.0,1.0
lochlyn,2.0,1.0,3.0
lock,221.0,206.0,427.0
locken,3.0,0.0,3.0
locker,4.0,0.0,4.0
locket,2.0,0.0,2.0
lockett,0.0,2.0,2.0
lockhart,2.0,3.0,5.0
lockjaw,2.0,0.0,2.0
lockley,1.0,0.0,1.0
locksley,0.0,1.0,1.0
locksmith,0.0,2.0,2.0
lockup,1.0,0.0,1.0
loco,1.0,0.0,1.0
locomot,4.0,6.0,10.0
locust,0.0,3.0,3.0
lode,0.0,1.0,1.0
loder,0.0,1.0,1.0
lodg,11.0,15.0,26.0
lodi,0.0,1.0,1.0
lodoss,0.0,5.0,5.0
loe,0.0,1.0,1.0
loeb,2.0,2.0,4.0
loek,0.0,1.0,1.0
loerrta,0.0,1.0,1.0
loes,0.0,1.0,1.0
loesser,0.0,2.0,2.0
loew,1.0,1.0,2.0
lofaso,1.0,0.0,1.0
lofl,1.0,0.0,1.0
loft,10.0,3.0,13.0
lofti,8.0,12.0,20.0
loftier,3.0,3.0,6.0
loftiest,1.0,0.0,1.0
log,22.0,6.0,28.0
logan,43.0,33.0,76.0
logasa,0.0,1.0,1.0
loggerhead,3.0,0.0,3.0
loggia,5.0,5.0,10.0
logic,262.0,180.0,442.0
login,1.0,0.0,1.0
logiqu,1.0,0.0,1.0
logist,6.0,0.0,6.0
logo,3.0,6.0,9.0
logophob,1.0,0.0,1.0
logothethi,0.0,1.0,1.0
loha,0.0,1.0,1.0
lohan,7.0,2.0,9.0
lohman,2.0,0.0,2.0
lohmann,1.0,0.0,1.0
loi,39.0,22.0,61.0
loin,6.0,0.0,6.0
loincloth,2.0,2.0,4.0
loiret,0.0,1.0,1.0
loiter,0.0,2.0,2.0
lok,0.0,6.0,6.0
loki,5.0,0.0,5.0
lol,48.0,51.0,99.0
lola,14.0,22.0,36.0
lolita,19.0,3.0,22.0
loll,0.0,3.0,3.0
lolli,1.0,4.0,5.0
lollipop,2.0,1.0,3.0
lollo,0.0,5.0,5.0
lollobrigida,1.0,3.0,4.0
lolol,1.0,0.0,1.0
lololol,1.0,0.0,1.0
lolololololololol,1.0,0.0,1.0
lom,0.0,3.0,3.0
loma,1.0,0.0,1.0
lombard,13.0,4.0,17.0
lombardo,1.0,2.0,3.0
lommel,12.0,0.0,12.0
lon,3.0,11.0,14.0
loncrain,1.0,0.0,1.0
londan,1.0,0.0,1.0
london,130.0,190.0,320.0
londonscap,0.0,1.0,1.0
lone,119.0,253.0,372.0
loneli,4.0,22.0,26.0
loneliest,0.0,1.0,1.0
loner,3.0,14.0,17.0
lonesom,33.0,46.0,79.0
lonestar,1.0,0.0,1.0
lonett,1.0,0.0,1.0
lonewolf,1.0,0.0,1.0
loney,1.0,0.0,1.0
long,3441.0,3497.0,6938.0
longbourn,1.0,0.0,1.0
longeneck,1.0,0.0,1.0
longer,466.0,513.0,979.0
longest,58.0,60.0,118.0
longfellow,0.0,1.0,1.0
longhair,0.0,1.0,1.0
longi,2.0,0.0,2.0
longinidi,2.0,0.0,2.0
longinotto,0.0,1.0,1.0
longish,2.0,1.0,3.0
longlast,0.0,1.0,1.0
longoria,3.0,4.0,7.0
longshot,0.0,1.0,1.0
longstand,1.0,2.0,3.0
longstreth,0.0,1.0,1.0
longsuff,0.0,1.0,1.0
longtim,22.0,30.0,52.0
longwind,1.0,1.0,2.0
loni,4.0,5.0,9.0
lonni,5.0,4.0,9.0
lonsdal,3.0,0.0,3.0
loo,1.0,5.0,6.0
look,9754.0,6228.0,15982.0
lookalik,6.0,5.0,11.0
looker,4.0,2.0,6.0
lookin,6.0,1.0,7.0
lookit,1.0,0.0,1.0
lookout,1.0,1.0,2.0
loom,14.0,38.0,52.0
loomi,8.0,7.0,15.0
loonat,1.0,0.0,1.0
loondon,0.0,1.0,1.0
looney,7.0,7.0,14.0
looni,15.0,10.0,25.0
loonier,1.0,0.0,1.0
loonili,1.0,0.0,1.0
loonytoon,0.0,1.0,1.0
looong,3.0,0.0,3.0
looonnnggg,1.0,0.0,1.0
loooong,7.0,2.0,9.0
loooonnnnng,1.0,0.0,1.0
looooong,3.0,0.0,3.0
looooonnnggg,1.0,0.0,1.0
loooooong,2.0,0.0,2.0
looooooong,1.0,0.0,1.0
looooooonnnnnggggggg,1.0,0.0,1.0
looooooooong,1.0,0.0,1.0
loooooooooooong,1.0,0.0,1.0
loooooov,0.0,1.0,1.0
loooooovvveee,1.0,0.0,1.0
loooov,0.0,1.0,1.0
loop,32.0,10.0,42.0
loophol,2.0,1.0,3.0
loopi,5.0,5.0,10.0
loopili,1.0,0.0,1.0
loos,521.0,404.0,925.0
loosen,10.0,19.0,29.0
looser,8.0,3.0,11.0
loosest,6.0,0.0,6.0
loosey,1.0,0.0,1.0
loosi,1.0,0.0,1.0
loosli,4.0,1.0,5.0
loot,10.0,11.0,21.0
looter,0.0,1.0,1.0
lop,6.0,5.0,11.0
lope,2.0,2.0,4.0
lopez,13.0,14.0,27.0
lopsid,2.0,1.0,3.0
loquaci,1.0,2.0,3.0
lorali,0.0,1.0,1.0
lorber,0.0,1.0,1.0
lorch,0.0,1.0,1.0
lord,36.0,44.0,80.0
lorden,0.0,1.0,1.0
lordi,9.0,0.0,9.0
lore,5.0,8.0,13.0
loreen,0.0,1.0,1.0
lorelai,1.0,11.0,12.0
lorelei,3.0,6.0,9.0
loren,3.0,11.0,14.0
lorena,0.0,1.0,1.0
lorenz,7.0,1.0,8.0
lorenzo,22.0,17.0,39.0
loretta,8.0,17.0,25.0
loretto,0.0,1.0,1.0
lori,11.0,11.0,22.0
lorica,1.0,0.0,1.0
lorissa,1.0,0.0,1.0
lorit,0.0,1.0,1.0
lorn,6.0,14.0,20.0
lorna,11.0,3.0,14.0
lorr,12.0,20.0,32.0
lorrain,6.0,8.0,14.0
lorraina,1.0,0.0,1.0
lorri,1.0,2.0,3.0
los,89.0,89.0,178.0
losch,0.0,3.0,3.0
lose,699.0,798.0,1497.0
loser,81.0,29.0,110.0
losey,1.0,0.0,1.0
loss,1.0,0.0,1.0
lost,1402.0,1502.0,2904.0
lostflix,1.0,0.0,1.0
losthorizon,0.0,1.0,1.0
lot,454.0,524.0,978.0
lotg,1.0,0.0,1.0
lothar,0.0,1.0,1.0
lothario,1.0,1.0,2.0
lotion,0.0,1.0,1.0
lotof,1.0,0.0,1.0
lotr,9.0,8.0,17.0
lotsa,3.0,1.0,4.0
lotsapoppa,1.0,0.0,1.0
lotta,3.0,1.0,4.0
lotteri,1.0,3.0,4.0
lotti,1.0,2.0,3.0
lou,61.0,51.0,112.0
louann,2.0,0.0,2.0
loud,414.0,328.0,742.0
louda,0.0,1.0,1.0
louden,0.0,3.0,3.0
louder,11.0,10.0,21.0
loudest,9.0,2.0,11.0
loudmouth,6.0,1.0,7.0
loudon,0.0,3.0,3.0
loudspeak,2.0,0.0,2.0
louella,0.0,4.0,4.0
loues,0.0,1.0,1.0
lough,1.0,0.0,1.0
louhim,0.0,1.0,1.0
loui,58.0,137.0,195.0
louie,4.0,16.0,20.0
louis,11.0,18.0,29.0
louisa,6.0,3.0,9.0
louisbourg,2.0,0.0,2.0
louisiana,7.0,10.0,17.0
louisianna,1.0,0.0,1.0
louisvill,1.0,7.0,8.0
loulou,0.0,4.0,4.0
loumier,0.0,1.0,1.0
loung,15.0,6.0,21.0
loungecor,1.0,0.0,1.0
loup,4.0,1.0,5.0
louqu,6.0,0.0,6.0
lour,0.0,1.0,1.0
lous,1.0,3.0,4.0
lousi,390.0,47.0,437.0
lousiana,0.0,1.0,1.0
lousier,1.0,0.0,1.0
lousiest,9.0,1.0,10.0
loust,1.0,0.0,1.0
loutish,2.0,2.0,4.0
louvr,0.0,2.0,2.0
louy,1.0,0.0,1.0
lovabl,86.0,225.0,311.0
love,3314.0,7697.0,11011.0
loveabl,9.0,20.0,29.0
lovebird,1.0,1.0,2.0
lovecraft,5.0,0.0,5.0
lovecraftian,4.0,6.0,10.0
lovehal,0.0,1.0,1.0
lovehatedreamslifeworkplayfriend,0.0,1.0,1.0
lovejoy,0.0,1.0,1.0
lovel,0.0,1.0,1.0
lovelac,0.0,1.0,1.0
loveless,5.0,12.0,17.0
loveli,2.0,10.0,12.0
loveliest,6.0,2.0,8.0
lovelorn,6.0,5.0,11.0
lovemak,5.0,8.0,13.0
lover,42.0,68.0,110.0
lovesick,2.0,4.0,6.0
lovestori,0.0,1.0,1.0
lovestruck,1.0,0.0,1.0
lovett,0.0,5.0,5.0
lovey,2.0,3.0,5.0
lovin,0.0,4.0,4.0
loving,0.0,1.0,1.0
lovitz,1.0,2.0,3.0
low,2368.0,1214.0,3582.0
lowbal,1.0,0.0,1.0
lowbrow,11.0,7.0,18.0
lowbudget,0.0,1.0,1.0
lowdown,2.0,3.0,5.0
lowel,5.0,2.0,7.0
lowenhielm,0.0,1.0,1.0
lowensohn,0.0,1.0,1.0
lower,294.0,163.0,457.0
loweri,2.0,1.0,3.0
lowest,139.0,38.0,177.0
lowish,0.0,1.0,1.0
lowitz,0.0,1.0,1.0
lowlevel,1.0,0.0,1.0
lowli,11.0,14.0,25.0
lowliest,2.0,2.0,4.0
lowlif,4.0,4.0,8.0
lowri,0.0,1.0,1.0
lowsi,1.0,0.0,1.0
loy,14.0,20.0,34.0
loyal,61.0,100.0,161.0
loyalist,0.0,2.0,2.0
loyalti,0.0,4.0,4.0
lp,2.0,3.0,5.0
lps,0.0,1.0,1.0
lq,0.0,2.0,2.0
lr,1.0,0.0,1.0
ls,0.0,1.0,1.0
lsd,10.0,9.0,19.0
lt,16.0,21.0,37.0
lta,0.0,3.0,3.0
ltas,0.0,2.0,2.0
ltd,0.0,1.0,1.0
ltl,2.0,0.0,2.0
lu,0.0,1.0,1.0
luan,7.0,0.0,7.0
luana,0.0,1.0,1.0
luau,1.0,0.0,1.0
lubbock,0.0,1.0,1.0
lube,1.0,1.0,2.0
lubezki,1.0,0.0,1.0
lubin,0.0,2.0,2.0
lubitsch,3.0,16.0,19.0
lubric,1.0,0.0,1.0
lubrici,2.0,0.0,2.0
lubtchanski,0.0,1.0,1.0
luc,18.0,15.0,33.0
luca,19.0,70.0,89.0
lucasfilm,1.0,2.0,3.0
lucci,2.0,2.0,4.0
luce,2.0,1.0,3.0
lucha,2.0,0.0,2.0
luchador,1.0,0.0,1.0
luchini,0.0,1.0,1.0
luchino,1.0,1.0,2.0
luci,25.0,52.0,77.0
lucia,2.0,2.0,4.0
lucian,7.0,1.0,8.0
luciana,1.0,1.0,2.0
luciano,0.0,7.0,7.0
lucid,4.0,16.0,20.0
lucien,2.0,12.0,14.0
lucienn,0.0,9.0,9.0
lucif,5.0,5.0,10.0
luciferian,1.0,0.0,1.0
lucil,1.0,9.0,10.0
lucill,38.0,20.0,58.0
lucina,0.0,1.0,1.0
lucinda,2.0,5.0,7.0
lucinenn,0.0,1.0,1.0
lucio,23.0,30.0,53.0
lucious,1.0,0.0,1.0
lucit,0.0,1.0,1.0
lucius,3.0,0.0,3.0
luck,51.0,49.0,100.0
luckett,0.0,3.0,3.0
lucki,192.0,306.0,498.0
luckier,0.0,1.0,1.0
luckiest,3.0,2.0,5.0
luckili,115.0,125.0,240.0
luckless,1.0,2.0,3.0
lucklili,0.0,1.0,1.0
lucr,0.0,1.0,1.0
lucrat,12.0,5.0,17.0
lucrencia,0.0,1.0,1.0
luda,1.0,0.0,1.0
ludacra,0.0,1.0,1.0
luddit,0.0,2.0,2.0
luder,0.0,1.0,1.0
ludicr,302.0,75.0,377.0
ludicri,1.0,0.0,1.0
ludivin,0.0,1.0,1.0
ludlam,1.0,0.0,1.0
ludlow,1.0,1.0,2.0
ludlum,2.0,0.0,2.0
ludvig,0.0,2.0,2.0
ludw,0.0,1.0,1.0
ludwig,4.0,3.0,7.0
luft,0.0,1.0,1.0
luftwaff,1.0,3.0,4.0
lug,1.0,5.0,6.0
lugaci,0.0,1.0,1.0
luger,1.0,1.0,2.0
luggag,2.0,0.0,2.0
lughnasa,0.0,1.0,1.0
lugia,2.0,0.0,2.0
lugosi,63.0,38.0,101.0
lugubri,4.0,4.0,8.0
luhrman,1.0,2.0,3.0
luhrmann,1.0,0.0,1.0
lui,12.0,44.0,56.0
luigi,5.0,8.0,13.0
luis,2.0,4.0,6.0
luisa,0.0,2.0,2.0
luisi,2.0,0.0,2.0
